Alexandria Traffic Edges (Roads) — SmartCityAnalyzer,,,,,,
from_node,to_node,name,length_m,speed_kph,road_type,source
31.2087_29.9339,31.2081_29.9296,شارع الشهيد جواد حسنى,415.1,60,Primary,overpass_live
31.2077_29.9294,31.2086_29.9338,شارع الشهيد جواد حسنى,421.5,60,Primary,overpass_live
31.2086_29.9341,31.2143_29.9452,شارع اللواء محمد فوزي معاذ,1188.6,60,Primary,overpass_live
31.2146_29.9451,31.2087_29.9339,شارع اللواء محمد فوزي معاذ,1199.4,60,Primary,overpass_live
31.1629_29.8609,31.153_29.8479,شارع المكس,1603.5,60,Primary,overpass_live
31.1808_29.8828,31.1818_29.8851,شارع المكس,230.5,60,Primary,overpass_live
31.18_29.8823,31.1808_29.8828,شارع المكس,101.2,60,Primary,overpass_live
31.1801_29.8822,31.1631_29.8614,شارع المكس,2680.4,60,Primary,overpass_live
31.1631_29.8614,31.1629_29.8609,شارع المكس,52.1,60,Primary,overpass_live
31.1628_29.8609,31.163_29.8615,شارع المكس,52.5,60,Primary,overpass_live
31.1809_29.8827,31.1801_29.8822,شارع المكس,103.6,60,Primary,overpass_live
31.163_29.8615,31.18_29.8823,شارع المكس,2712.8,60,Primary,overpass_live
31.1825_29.886,31.1819_29.885,شارع المكس,110.1,60,Primary,overpass_live
31.1818_29.8851,31.1824_29.8861,شارع المكس,112.4,60,Primary,overpass_live
31.153_29.8479,31.1515_29.8421,شارع المكس,692.8,60,Primary,overpass_live
31.1438_29.8373,31.1503_29.8421,شارع المكس,857.6,60,Primary,overpass_live
31.1829_29.8862,31.1825_29.886,شارع المكس,47.6,60,Primary,overpass_live
31.1824_29.8861,31.1829_29.8865,شارع المكس,70.2,60,Primary,overpass_live
31.1819_29.885,31.1809_29.8827,شارع المكس,233.7,60,Primary,overpass_live
31.1525_29.8471,31.153_29.8479,شارع المكس,90.7,60,Primary,overpass_live
