fact_id,prop_id,area_id,business_type_id,category,street_name,area_sqm,rent_monthly_egp,rent_per_sqm,competitors_500m,competitors_1km,affordability_score,suitability_score,recommended
234,22,43,3,Food & Beverage,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
235,22,43,4,Food & Beverage,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
236,22,43,5,Food & Beverage,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
237,22,43,6,Health & Fitness,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
238,22,43,7,Healthcare,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,2,2,1,9.39,True
239,22,43,8,Healthcare,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,2,2,1,9.39,True
240,22,43,9,Retail,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
241,22,43,10,Retail,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
242,22,43,11,Tourism & Hospitality,Alexandria / Gamal Abd El Nasir St,55,15000,272.73,0,0,1,9.99,True
243,23,43,1,Financial Services,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
244,23,43,2,Food & Beverage,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
245,23,43,3,Food & Beverage,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
246,23,43,4,Food & Beverage,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
247,23,43,5,Food & Beverage,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
248,23,43,6,Health & Fitness,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
249,23,43,7,Healthcare,Alexandria / Gamal Abd El Nasir St,100,10000,100,2,2,1.32,9.4,True
250,23,43,8,Healthcare,Alexandria / Gamal Abd El Nasir St,100,10000,100,2,2,1.32,9.4,True
251,23,43,9,Retail,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
252,23,43,10,Retail,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
253,23,43,11,Tourism & Hospitality,Alexandria / Gamal Abd El Nasir St,100,10000,100,0,0,1.32,10,True
254,24,43,1,Financial Services,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,0,0,1.37,10,True
255,24,43,2,Food & Beverage,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,0,0,1.37,10,True
256,24,43,3,Food & Beverage,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,0,0,1.37,10,True
257,24,43,4,Food & Beverage,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,0,0,1.37,10,True
258,24,43,5,Food & Beverage,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,0,0,1.37,10,True
259,24,43,6,Health & Fitness,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,0,0,1.37,10,True
260,24,43,7,Healthcare,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,2,2,1.37,9.4,True
261,24,43,8,Healthcare,Alexandria / Gamal Abd El Nasir St,70,5000,71.43,2,2,1.37,9.4,True
